Verb,Tense,Subject
নাচিয়েছ,Present,2nd_f
নাচিয়েছি,Present,1st
নাচিয়েছিল,Past,3rd_f
নাচিয়েছিলাম,Past,1st
নাচিয়েছিলি,Past,1st
নাচিয়েছিলুম,Past,1st
নাচিয়েছিলে,Past,2nd_f
নাচিয়েছিলেন,Past,pol_f
নাচিয়েছিলেম,Past,1st
নাচিয়েছিস,Present,2nd_i
নাচিয়েছে,Present,2nd_f
নাচিয়েছেন,Present,pol_f
নাচিয়ো,Present,2nd_f
নাচিল,Past,3rd_f
নাচিলাম,Past,1st
নাচিলি,Past,1st
নাচিলে,Past,2nd_f
নাচিলেন,Past,pol_f
নাচিস,Present,2nd_i
নাচুক,Present,3rd_f
নাচুন,Present,pol_f
নাচে,Present,3rd_f
নাচেন,Present,pol_f
নাচছ,Present,2nd_f
নাচছি,Present,1st
নাচছিল,Past,3rd_f
নাচছিলাম,Past,1st
নাচছিলি,Past,1st
নাচছিলুম,Past,1st
নাচছিলে,Past,2nd_f
নাচছিলেন,Past,pol_f
নাচছিলেম,Past,1st
নাচছিস,Present,2nd_i
নাচছে,Present,3rd_f
নাচছেন,Present,pol_f
নাচত,Past,3rd_f
নাচতাম,Past,1st
নাচতিস,Past,2nd_i
নাচতুম,Past,1st
নাচতে,Past,2nd_f
নাচতেন,Past,pol_f
নাচতেম,Past,1st
নাচব,Future,1st
নাচবার,Present,404_f
নাচবি,Future,1st
নাচবে,Future,2nd_f
নাচবেন,Future,pol_f
নাচবো,Future,1st
নাচল,Past,3rd_f
নাচলাম,Past,1st
নাচলি,Past,1st
নাচলুম,Past,1st
নাচলে,Past,2nd_f
নাচলেন,Past,pol_f
নাচলেম,Past,1st
পড়ান,Present,pol_f
পড়,Root,2nd_i
পড়া,Base,pos_f
পড়াই,Present,1st
পড়াইও,Present,2nd_f
পড়াইত,Past,3rd_f
পড়াইতাম,Past,1st
পড়াইতিস,Past,2nd_i
পড়াইতে,Past,2nd_f
পড়াইতেছ,Present,2nd_f
পড়াইতেছি,Present,1st
পড়াইতেছিল,Past,3rd_f
পড়াইতেছিলাম,Past,1st
পড়াইতেছিলি,Past,1st
পড়াইতেছিলে,Past,2nd_f
পড়াইতেছিলেন,Past,pol_f
পড়াইতেছিস,Present,2nd_i
পড়াইতেছে,Present,2nd_f
পড়াইতেছেন,Present,pol_f
পড়াইতেন,Past,pol_f
পড়াইব,Future,1st
পড়াইবার,Present,404_f
পড়াইবি,Future,1st
পড়াইবে,Future,2nd_f
পড়াইবেন,Future,pol_f
পড়াইয়া,Participle,404_f
পড়াইয়াছ,Present,2nd_f
পড়াইয়াছি,Present,1st
পড়াইয়াছিল,Past,3rd_f
পড়াইয়াছিলাম,Past,1st
পড়াইয়াছিলি,Past,1st
পড়াইয়াছিলে,Past,2nd_f
পড়াইয়াছিলেন,Past,pol_f
পড়াইয়াছিস,Present,2nd_i
পড়াইয়াছে,Present,3rd_f
পড়াইয়াছেন,Present,pol_f
পড়াইয়ো,Present,2nd_f
পড়াইল,Past,3rd_f
পড়াইলাম,Past,1st
পড়াইলি,Past,1st
পড়াইলে,Past,2nd_f
পড়াইলেন,Past,pol_f
পড়াও,Present,2nd_f
পড়াক,Present,3rd_f
পড়াচ্ছ,Present,2nd_f
পড়াচ্ছি,Present,1st
পড়াচ্ছিল,Past,3rd_f
পড়াচ্ছিলাম,Past,1st
পড়াচ্ছিলি,Past,1st
পড়াচ্ছিলুম,Past,1st
পড়াচ্ছিলে,Past,2nd_f
পড়াচ্ছিলেন,Past,pol_f
পড়াচ্ছিলেম,Past,1st
পড়াচ্ছিস,Present,2nd_i
পড়াচ্ছে,Present,3rd_f
পড়াচ্ছেন,Present,pol_f
পড়াত,Past,3rd_f
পড়াতাম,Past,1st
পড়াতিস,Past,2nd_i
পড়াতুম,Past,1st
পড়াতে,Past,2nd_f
পড়াতেন,Past,pol_f
পড়াতেম,Past,1st
পড়ান,Present,pol_f
পড়ানো,Present,obj_f
পড়াব,Future,1st
পড়াবার,Present,404_f
পড়াবি,Future,1st
পড়াবে,Future,2nd_f
পড়াবেন,Future,pol_f
পড়াবো,Future,1st
পড়ায়,Present,3rd_f
পড়ার,Present,404_f
পড়াল,Past,3rd_f
পড়ালাম,Past,1st
পড়ালি,Past,1st
পড়ালুম,Past,1st
পড়ালে,Past,2nd_f
পড়ালেন,Past,pol_f
পড়ালেম,Past,1st
পড়াস,Present,2nd_i
পড়ি,Present,1st
পড়িও,Present,2nd_f
পড়িত,Past,3rd_f
পড়িতাম,Past,1st
পড়িতিস,Past,2nd_i
পড়িতে,Past,2nd_f
পড়িতেছ,Present,2nd_f
পড়িতেছি,Present,1st
পড়িতেছিল,Past,3rd_f
পড়িতেছিলাম,Past,1st
পড়িতেছিলি,Past,1st
পড়িতেছিলে,Past,2nd_f
পড়িতেছিলেন,Past,pol_f
পড়িতেছিস,Present,2nd_i
পড়িতেছে,Present,2nd_f
পড়িতেছেন,Present,pol_f
পড়িতেন,Past,pol_f
পড়িব,Future,1st
পড়িবার,Present,404_f
পড়িবি,Future,1st
পড়িবে,Future,2nd_f
পড়িবেন,Future,pol_f
পড়িয়া,Participle,404_f
পড়িয়াছ,Present,2nd_f
পড়িয়াছি,Present,1st
পড়িয়াছিল,Past,3rd_f
পড়িয়াছিলাম,Past,1st
পড়িয়াছিলি,Past,1st
পড়িয়াছিলে,Past,2nd_f
পড়িয়াছিলেন,Past,pol_f
পড়িয়াছিস,Present,2nd_i
পড়িয়াছে,Present,3rd_f
পড়িয়াছেন,Present,pol_f
পড়িয়ে,Participle,404_f
পড়িয়েছ,Present,2nd_f
পড়িয়েছি,Present,1st
পড়িয়েছিল,Past,3rd_f
পড়িয়েছিলাম,Past,1st
পড়িয়েছিলি,Past,1st
পড়িয়েছিলুম,Past,1st
পড়িয়েছিলে,Past,2nd_f
পড়িয়েছিলেন,Past,pol_f
পড়িয়েছিলেম,Past,1st
পড়িয়েছিস,Present,2nd_i
পড়িয়েছে,Present,2nd_f
পড়িয়েছেন,Present,pol_f
পড়িয়ো,Present,2nd_f
পড়িল,Past,3rd_f
পড়িলাম,Past,1st
পড়িলি,Past,1st
পড়িলে,Past,2nd_f
পড়িলেন,Past,pol_f
পড়িস,Present,2nd_i
পড়ুক,Present,3rd_f
পড়ুন,Present,pol_f
পড়ে,Present,3rd_f
পড়েছ,Present,2nd_f
পড়েছি,Present,1st
পড়েছিল,Past,3rd_f
পড়েছিলাম,Past,1st
পড়েছিলি,Past,1st
পড়েছিলুম,Past,1st
পড়েছিলে,Past,2nd_f
পড়েছিলেন,Past,pol_f
পড়েছিলেম,Past,1st
পড়েছিস,Present,2nd_i
পড়েছে,Present,2nd_f
পড়েছেন,Present,pol_f
পড়েন,Present,pol_f
পড়ো,Present,2nd_f
পড়ছ,Present,2nd_f
পড়ছি,Present,1st
পড়ছিল,Past,3rd_f
পড়ছিলাম,Past,1st
পড়ছিলি,Past,1st
পড়ছিলুম,Past,1st
পড়ছিলে,Past,2nd_f
পড়ছিলেন,Past,pol_f
পড়ছিলেম,Past,1st
পড়ছিস,Present,2nd_i
পড়ছে,Present,3rd_f
পড়ছেন,Present,pol_f
পড়ত,Past,3rd_f
পড়তাম,Past,1st
পড়তিস,Past,2nd_i
পড়তুম,Past,1st
পড়তে,Past,2nd_f
পড়তেন,Past,pol_f
পড়তেম,Past,1st
পড়ব,Future,1st
পড়বার,Present,404_f
পড়বি,Future,1st
পড়বে,Future,2nd_f
পড়বেন,Future,pol_f
পড়বো,Future,1st
পড়ল,Past,3rd_f
পড়লাম,Past,1st
পড়লি,Past,1st
পড়লুম,Past,1st
পড়লে,Past,2nd_f
পড়লেন,Past,pol_f
পড়লেম,Past,1st
পাই,Present,1st
পাইও,Present,2nd_f
পাইত,Past,3rd_f
পাইতাম,Past,1st
পাইতিস,Past,2nd_i
পাইতে,Past,2nd_f
পাইতেছ,Present,2nd_f
পাইতেছি,Present,1st
পাইতেছিল,Past,3rd_f
পাইতেছিলাম,Past,1st
পাইতেছিলি,Past,1st
পাইতেছিলে,Past,2nd_f
পাইতেছিলেন,Past,pol_f
পাইতেছিস,Present,2nd_i
পাইতেছে,Present,2nd_f
পাইতেছেন,Present,pol_f
পাইতেন,Past,pol_f
পাইব,Future,1st
পাইবার,Present,404_f
পাইবি,Future,1st
পাইবে,Future,2nd_f
পাইবেন,Future,pol_f
পাইয়া,Participle,404_f
পাইয়াছ,Present,2nd_f
পাইয়াছি,Present,1st
পাইয়াছিল,Past,3rd_f
পাইয়াছিলাম,Past,1st
পাইয়াছিলি,Past,1st
পাইয়াছিলে,Past,2nd_f
পাইয়াছিলেন,Past,pol_f
পাইয়াছিস,Present,2nd_i
পাইয়াছে,Present,3rd_f
পাইয়াছেন,Present,pol_f
পাইয়ে,Participle,404_f
পাইয়েছ,Present,2nd_f
পাইয়েছি,Present,1st
পাইয়েছিল,Past,3rd_f
পাইয়েছিলাম,Past,1st
পাইয়েছিলি,Past,1st
পাইয়েছিলুম,Past,1st
পাইয়েছিলে,Past,2nd_f
পাইয়েছিলেন,Past,pol_f
পাইয়েছিলেম,Past,1st
পাইয়েছিস,Present,2nd_i
পাইয়েছে,Present,2nd_f
পাইয়েছেন,Present,pol_f
পাইয়ো,Present,2nd_f
পাইল,Past,3rd_f
পাইলাম,Past,1st
পাইলি,Past,1st
পাইলে,Past,2nd_f
পাইলেন,Past,pol_f
পাও,Present,2nd_f
পাওয়া,Base,pos_f
পাওয়াই,Present,1st
পাওয়াইও,Present,2nd_f
পাওয়াইত,Past,3rd_f
পাওয়াইতাম,Past,1st
পাওয়াইতিস,Past,2nd_i
পাওয়াইতে,Past,2nd_f
পাওয়াইতেছ,Present,2nd_f
পাওয়াইতেছি,Present,1st
পাওয়াইতেছিল,Past,3rd_f
পাওয়াইতেছিলাম,Past,1st
পাওয়াইতেছিলি,Past,1st
পাওয়াইতেছিলে,Past,2nd_f
পাওয়াইতেছিলেন,Past,pol_f
পাওয়াইতেছিস,Present,2nd_i
পাওয়াইতেছে,Present,2nd_f
পাওয়াইতেছেন,Present,pol_f
পাওয়াইতেন,Past,pol_f
পাওয়াইব,Future,1st
পাওয়াইবার,Present,404_f
পাওয়াইবি,Future,1st
পাওয়াইবে,Future,2nd_f
পাওয়াইবেন,Future,pol_f
পাওয়াইয়া,Participle,404_f
পাওয়াইয়াছ,Present,2nd_f
পাওয়াইয়াছি,Present,1st
পাওয়াইয়াছিল,Past,3rd_f
পাওয়াইয়াছিলাম,Past,1st
পাওয়াইয়াছিলি,Past,1st
পাওয়াইয়াছিলে,Past,2nd_f
পাওয়াইয়াছিলেন,Past,pol_f
পাওয়াইয়াছিস,Present,2nd_i
পাওয়াইয়াছে,Present,3rd_f
পাওয়াইয়াছেন,Present,pol_f
পাওয়াইয়ো,Present,2nd_f
পাওয়াইল,Past,3rd_f
পাওয়াইলাম,Past,1st
পাওয়াইলি,Past,1st
পাওয়াইলে,Past,2nd_f
পাওয়াইলেন,Past,pol_f
পাওয়াও,Present,2nd_f
পাওয়াক,Present,3rd_f
পাওয়াচ্ছ,Present,2nd_f
পাওয়াচ্ছি,Present,1st
পাওয়াচ্ছিল,Past,3rd_f
পাওয়াচ্ছিলাম,Past,1st
পাওয়াচ্ছিলি,Past,1st
পাওয়াচ্ছিলুম,Past,1st
পাওয়াচ্ছিলে,Past,2nd_f
পাওয়াচ্ছিলেন,Past,pol_f
পাওয়াচ্ছিলেম,Past,1st
পাওয়াচ্ছিস,Present,2nd_i
পাওয়াচ্ছে,Present,3rd_f
পাওয়াচ্ছেন,Present,pol_f
পাওয়াত,Past,3rd_f
পাওয়াতাম,Past,1st
পাওয়াতিস,Past,2nd_i
পাওয়াতুম,Past,1st
পাওয়াতে,Past,2nd_f
পাওয়াতেন,Past,pol_f
পাওয়াতেম,Past,1st
পাওয়ান,Present,pol_f
পাওয়ানো,Present,obj_f
পাওয়াব,Future,1st
পাওয়াবার,Present,404_f
পাওয়াবি,Future,1st
পাওয়াবে,Future,2nd_f
পাওয়াবেন,Future,pol_f
পাওয়াবো,Future,1st
পাওয়ায়,Present,3rd_f
পাওয়াল,Past,3rd_f
পাওয়ালাম,Past,1st
পাওয়ালি,Past,1st
পাওয়ালুম,Past,1st
পাওয়ালে,Past,2nd_f
পাওয়ালেন,Past,pol_f
পাওয়ালেম,Past,1st
পাওয়াস,Present,2nd_i
ফির,Root,2nd_i
ফিরা,Base,pos_f
ফিরাই,Present,1st
ফিরাইও,Present,2nd_f
ফিরাইত,Past,3rd_f
ফিরাইতাম,Past,1st
ফিরাইতিস,Past,2nd_i
ফিরাইতে,Past,2nd_f
ফিরাইতেছ,Present,2nd_f
ফিরাইতেছি,Present,1st
ফিরাইতেছিল,Past,3rd_f
ফিরাইতেছিলাম,Past,1st
ফিরাইতেছিলি,Past,1st
ফিরাইতেছিলে,Past,2nd_f
ফিরাইতেছিলেন,Past,pol_f
ফিরাইতেছিস,Present,2nd_i
ফিরাইতেছে,Present,2nd_f
ফিরাইতেছেন,Present,pol_f
ফিরাইতেন,Past,pol_f
ফিরাইব,Future,1st
ফিরাইবার,Present,404_f
ফিরাইবি,Future,1st
ফিরাইবে,Future,2nd_f
ফিরাইবেন,Future,pol_f
ফিরাইয়া,Participle,404_f
ফিরাইয়াছ,Present,2nd_f
ফিরাইয়াছি,Present,1st
ফিরাইয়াছিল,Past,3rd_f
ফিরাইয়াছিলাম,Past,1st
ফিরাইয়াছিলি,Past,1st
ফিরাইয়াছিলে,Past,2nd_f
ফিরাইয়াছিলেন,Past,pol_f
ফিরাইয়াছিস,Present,2nd_i
ফিরাইয়াছে,Present,3rd_f
ফিরাইয়াছেন,Present,pol_f
ফিরাইয়ো,Present,2nd_f
ফিরাইল,Past,3rd_f
ফিরাইলাম,Past,1st
ফিরাইলি,Past,1st
ফিরাইলে,Past,2nd_f
ফিরাইলেন,Past,pol_f
ফিরাও,Present,2nd_f
ফিরাক,Present,3rd_f
ফিরান,Present,pol_f
ফিরানো,Present,obj_f
ফিরায়,Present,3rd_f
ফিরাস,Present,2nd_i
ফিরই,Present,1st
ফিরি,Present,1st
ফিরিও,Present,2nd_f
ফিরিত,Past,3rd_f
ফিরিতাম,Past,1st
ফিরিতিস,Past,2nd_i
ফিরিতে,Past,2nd_f
ফিরিতেছ,Present,2nd_f
ফিরিতেছি,Present,1st
ফিরিতেছিল,Past,3rd_f
ফিরিতেছিলাম,Past,1st
ফিরিতেছিলি,Past,1st
ফিরিতেছিলে,Past,2nd_f
ফিরিতেছিলেন,Past,pol_f
ফিরিতেছিস,Present,2nd_i
ফিরিতেছে,Present,2nd_f
ফিরিতেছেন,Present,pol_f
ফিরিতেন,Past,pol_f
ফিরিব,Future,1st
ফিরিবার,Present,404_f
ফিরিবি,Future,1st
ফিরিবে,Future,2nd_f
ফিরিবেন,Future,pol_f
ফিরিয়া,Participle,404_f
ফিরিয়াছ,Present,2nd_f
ফিরিয়াছি,Present,1st
ফিরিয়াছিল,Past,3rd_f
ফিরিয়াছিলাম,Past,1st
ফিরিয়াছিলি,Past,1st
ফিরিয়াছিলে,Past,2nd_f
ফিরিয়াছিলেন,Past,pol_f
ফিরিয়াছিস,Present,2nd_i
ফিরিয়াছে,Present,3rd_f
ফিরিয়াছেন,Present,pol_f
ফিরিয়ে,Participle,404_f
ফিরিয়েছ,Present,2nd_f
ফিরিয়েছি,Present,1st
ফিরিয়েছিল,Past,3rd_f
ফিরিয়েছিলাম,Past,1st
ফিরিয়েছিলি,Past,1st
ফিরিয়েছিলুম,Past,1st
ফিরিয়েছিলে,Past,2nd_f
ফিরিয়েছিলেন,Past,pol_f
ফিরিয়েছিলেম,Past,1st
ফিরিয়েছিস,Present,2nd_i
ফিরিয়েছে,Present,2nd_f
ফিরিয়েছেন,Present,pol_f
ফিরিয়ো,Present,2nd_f
ফিরিল,Past,3rd_f
ফিরিলাম,Past,1st
ফিরিলি,Past,1st
ফিরিলে,Past,2nd_f
ফিরিলেন,Past,pol_f
ফিরিস,Present,2nd_i
ফিরুক,Present,3rd_f
ফিরুন,Present,pol_f
ফিরে,Present,3rd_f
ফিরেআসা,Present,2nd_i
ফিরেছ,Present,2nd_f
ফিরেছি,Present,1st
ফিরেছিল,Past,3rd_f
ফিরেছিলাম,Past,1st
ফিরেছিলি,Past,1st
ফিরেছিলুম,Past,1st
ফিরেছিলে,Past,2nd_f
ফিরেছিলেন,Past,pol_f
ফিরেছিলেম,Past,1st
ফিরেছিস,Present,2nd_i
ফিরেছে,Present,2nd_f
ফিরেছেন,Present,pol_f
ফিরেন,Present,pol_f
ফিরও,Present,2nd_f
ফিরো,Present,2nd_f
ফিরচ্ছ,Present,2nd_f
ফিরচ্ছি,Present,1st
ফিরচ্ছিল,Past,3rd_f
ফিরচ্ছিলাম,Past,1st
ফিরচ্ছিলি,Past,1st
ফিরচ্ছিলুম,Past,1st
ফিরচ্ছিলে,Past,2nd_f
ফিরচ্ছিলেন,Past,pol_f
ফিরচ্ছিলেম,Past,1st
ফিরচ্ছিস,Present,2nd_i
ফিরচ্ছে,Present,3rd_f
ফিরচ্ছেন,Present,pol_f
ফিরছ,Present,2nd_f
ফিরছি,Present,1st
ফিরছিল,Past,3rd_f
ফিরছিলাম,Past,1st
ফিরছিলি,Past,1st
ফিরছিলুম,Past,1st
ফিরছিলে,Past,2nd_f
ফিরছিলেন,Past,pol_f
ফিরছিলেম,Past,1st
ফিরছিস,Present,2nd_i
ফিরছে,Present,3rd_f
ফিরছেন,Present,pol_f
ফিরতাম,Past,1st
ফিরতিস,Past,2nd_i
ফিরতুম,Past,1st
ফিরতে,Past,2nd_f
ফিরতেন,Past,pol_f
ফিরতেম,Past,1st
ফিরনো,Present,obj_f
ফিরব,Future,1st
ফিরবার,Present,404_f
ফিরবি,Future,1st
ফিরবে,Future,2nd_f
ফিরবেন,Future,pol_f
ফিরবো,Future,1st
ফিরয়,Present,3rd_f
ফিরল,Past,3rd_f
ফিরলাম,Past,1st
ফিরলি,Past,1st
ফিরলুম,Past,1st
ফিরলে,Past,2nd_f
ফিরলেন,Past,pol_f
ফিরলেম,Past,1st
বলা,Base,pos_f
বলাই,Present,1st
বলাইও,Present,2nd_f
বলাইত,Past,3rd_f
বলাইতাম,Past,1st
বলাইতিস,Past,2nd_i
বলাইতে,Past,2nd_f
বলাইতেছ,Present,2nd_f
বলাইতেছি,Present,1st
বলাইতেছিল,Past,3rd_f
বলাইতেছিলাম,Past,1st
বলাইতেছিলি,Past,1st
বলাইতেছিলে,Past,2nd_f
বলাইতেছিলেন,Past,pol_f
বলাইতেছিস,Present,2nd_i
বলাইতেছে,Present,2nd_f
বলাইতেছেন,Present,pol_f
বলাইতেন,Past,pol_f
বলাইব,Future,1st
বলাইবার,Present,404_f
বলাইবি,Future,1st
বলাইবে,Future,2nd_f
বলাইবেন,Future,pol_f
বলাইয়া,Participle,404_f
বলাইয়াছ,Present,2nd_f
বলাইয়াছি,Present,1st
বলাইয়াছিল,Past,3rd_f
বলাইয়াছিলাম,Past,1st
বলাইয়াছিলি,Past,1st
বলাইয়াছিলে,Past,2nd_f
বলাইয়াছিলেন,Past,pol_f
বলাইয়াছিস,Present,2nd_i
বলাইয়াছে,Present,3rd_f
বলাইয়াছেন,Present,pol_f
বলাইয়ো,Present,2nd_f
বলাইল,Past,3rd_f
বলাইলাম,Past,1st
বলাইলি,Past,1st
বলাইলে,Past,2nd_f
বলাইলেন,Past,pol_f
বলাও,Present,2nd_f
বলাক,Present,3rd_f
বলাচ্ছ,Present,2nd_f
বলাচ্ছি,Present,1st
বলাচ্ছিল,Past,3rd_f
বলাচ্ছিলাম,Past,1st
বলাচ্ছিলি,Past,1st
বলাচ্ছিলুম,Past,1st
বলাচ্ছিলে,Past,2nd_f
বলাচ্ছিলেন,Past,pol_f
বলাচ্ছিলেম,Past,1st
বলাচ্ছিস,Present,2nd_i
বলাচ্ছে,Present,3rd_f
বলাচ্ছেন,Present,pol_f
বলাত,Past,3rd_f
বলাতাম,Past,1st
বলাতিস,Past,2nd_i
বলাতুম,Past,1st
বলাতে,Past,2nd_f
বলাতেন,Past,pol_f
বলাতেম,Past,1st
বলান,Present,pol_f
বলানো,Present,obj_f
বলাব,Future,1st
বলাবার,Present,404_f
বলাবি,Future,1st
বলাবে,Future,2nd_f
বলাবেন,Future,pol_f
বলাবো,Future,1st
বলায়,Present,3rd_f
বলার,Present,404_f
বলাল,Past,3rd_f
বলালাম,Past,1st
বলালি,Past,1st
বলালুম,Past,1st
বলালে,Past,2nd_f
বলালেন,Past,pol_f
বলালেম,Past,1st
বলাস,Present,2nd_i
বলি,Past,1st
বলিও,Present,2nd_f
বলিত,Past,3rd_f
বলিতাম,Past,1st
বলিতিস,Past,2nd_i
বলিতে,Past,2nd_f
বলিতেছ,Present,2nd_f
বলিতেছি,Present,1st
বলিতেছিল,Past,3rd_f
বলিতেছিলাম,Past,1st
বলিতেছিলি,Past,1st
বলিতেছিলে,Past,2nd_f
বলিতেছিলেন,Past,pol_f
বলিতেছিস,Present,2nd_i
বলিতেছে,Present,2nd_f
বলিতেছেন,Present,pol_f
বলিতেন,Past,pol_f
বলিব,Future,1st
বলিবার,Present,404_f
বলিবি,Future,1st
বলিবে,Future,2nd_f
বলিবেন,Future,pol_f
বলিয়া,Participle,404_f
বলিয়াছ,Present,2nd_f
বলিয়াছি,Present,1st
বলিয়াছিল,Past,3rd_f
বলিয়াছিলাম,Past,1st
বলিয়াছিলি,Past,1st
বলিয়াছিলে,Past,2nd_f
বলিয়াছিলেন,Past,pol_f
বলিয়াছিস,Present,2nd_i
বলিয়াছে,Present,3rd_f
বলিয়াছেন,Present,pol_f
বলিয়ে,Participle,404_f
বলিয়েছ,Present,2nd_f
বলিয়েছি,Present,1st
বলিয়েছিল,Past,3rd_f
বলিয়েছিলাম,Past,1st
বলিয়েছিলি,Past,1st
বলিয়েছিলুম,Past,1st
বলিয়েছিলে,Past,2nd_f
বলিয়েছিলেন,Past,pol_f
বলিয়েছিলেম,Past,1st
বলিয়েছিস,Present,2nd_i
বলিয়েছে,Present,2nd_f
বলিয়েছেন,Present,pol_f
বলিয়ো,Present,2nd_f
বলিল,Past,3rd_f
বলিলাম,Past,1st
বলিলি,Past,1st
বলিলে,Past,2nd_f
বলিলেন,Past,pol_f
বলিস,Present,2nd_i
বলুক,Present,3rd_f
বলুন,Present,pol_f
বলে,Past,2nd_f
বলেছ,Present,2nd_f
বলেছি,Present,1st
বলেছিল,Past,3rd_f
বলেছিলাম,Past,1st
বলেছিলি,Past,1st
বলেছিলুম,Past,1st
বলেছিলে,Past,2nd_f
বলেছিলেন,Past,pol_f
বলেছিলেম,Past,1st
বলেছিস,Present,2nd_i
বলেছে,Present,2nd_f
বলেছেন,Present,pol_f
বলেন,Past,pol_f
বলো,Present,2nd_f
বলছ,Present,2nd_f
বলছি,Present,1st
বলছিল,Past,3rd_f
বলছিলাম,Past,1st
বলছিলি,Past,1st
বলছিলুম,Past,1st
বলছিলে,Past,2nd_f
বলছিলেন,Past,pol_f
বলছিলেম,Past,1st
বলছিস,Present,2nd_i
বলছে,Present,3rd_f
বলছেন,Present,pol_f
বলত,Past,3rd_f
বলতাম,Past,1st
বলতিস,Past,2nd_i
বলতুম,Past,1st
বলতে,Past,2nd_f
বলতেন,Past,pol_f
বলতেম,Past,1st
বলব,Future,1st
বলবার,Present,404_f
বলবি,Future,1st
বলবে,Future,2nd_f
বলবেন,Future,pol_f
বলবো,Future,1st
বলল,Past,3rd_f
বললাম,Past,1st
বললি,Past,1st
বললুম,Past,1st
বললে,Past,2nd_f
বললেন,Past,pol_f
বললেম,Past,1st
ভাব,Root,2nd_i
ভাবা,Base,pos_f
ভাবাই,Present,1st
ভাবাইও,Present,2nd_f
ভাবাইত,Past,3rd_f
ভাবাইতাম,Past,1st
ভাবাইতিস,Past,2nd_i
ভাবাইতে,Past,2nd_f
ভাবাইতেছ,Present,2nd_f
ভাবাইতেছি,Present,1st
ভাবাইতেছিল,Past,3rd_f
ভাবাইতেছিলাম,Past,1st
ভাবাইতেছিলি,Past,1st
ভাবাইতেছিলে,Past,2nd_f
ভাবাইতেছিলেন,Past,pol_f
ভাবাইতেছিস,Present,2nd_i
ভাবাইতেছে,Present,2nd_f
ভাবাইতেছেন,Present,pol_f
ভাবাইতেন,Past,pol_f
ভাবাইব,Future,1st
ভাবাইবার,Present,404_f
ভাবাইবি,Future,1st
ভাবাইবে,Future,2nd_f
ভাবাইবেন,Future,pol_f
ভাবাইয়া,Participle,404_f
ভাবাইয়াছ,Present,2nd_f
ভাবাইয়াছি,Present,1st
ভাবাইয়াছিল,Past,3rd_f
ভাবাইয়াছিলাম,Past,1st
ভাবাইয়াছিলি,Past,1st
ভাবাইয়াছিলে,Past,2nd_f
ভাবাইয়াছিলেন,Past,pol_f
ভাবাইয়াছিস,Present,2nd_i
ভাবাইয়াছে,Present,3rd_f
ভাবাইয়াছেন,Present,pol_f
ভাবাইয়ো,Present,2nd_f
ভাবাইল,Past,3rd_f
ভাবাইলাম,Past,1st
ভাবাইলি,Past,1st
ভাবাইলে,Past,2nd_f
ভাবাইলেন,Past,pol_f
ভাবাও,Present,2nd_f
ভাবাক,Present,3rd_f
ভাবাচ্ছ,Present,2nd_f
ভাবাচ্ছি,Present,1st
ভাবাচ্ছিল,Past,3rd_f
ভাবাচ্ছিলাম,Past,1st
ভাবাচ্ছিলি,Past,1st
ভাবাচ্ছিলুম,Past,1st
ভাবাচ্ছিলে,Past,2nd_f
ভাবাচ্ছিলেন,Past,pol_f
ভাবাচ্ছিলেম,Past,1st
ভাবাচ্ছিস,Present,2nd_i
ভাবাচ্ছে,Present,3rd_f
ভাবাচ্ছেন,Present,pol_f
ভাবাত,Past,3rd_f
ভাবাতাম,Past,1st
ভাবাতিস,Past,2nd_i
ভাবাতুম,Past,1st
ভাবাতে,Past,2nd_f
ভাবাতেন,Past,pol_f
ভাবাতেম,Past,1st
ভাবান,Present,pol_f
ভাবানো,Present,obj_f
ভাবাব,Future,1st
ভাবাবার,Present,404_f
ভাবাবি,Future,1st
ভাবাবে,Future,2nd_f
ভাবাবেন,Future,pol_f
ভাবাবো,Future,1st
ভাবায়,Present,3rd_f
ভাবার,Present,404_f
ভাবাল,Past,3rd_f
ভাবালাম,Past,1st
ভাবালি,Past,1st
ভাবালুম,Past,1st
ভাবালে,Past,2nd_f
ভাবালেন,Past,pol_f
ভাবালেম,Past,1st
ভাবাস,Present,2nd_i
ভাবি,Future,1st
ভাবিও,Present,2nd_f
ভাবিত,Past,3rd_f
ভাবিতাম,Past,1st
ভাবিতিস,Past,2nd_i
ভাবিতে,Past,2nd_f
ভাবিতেছ,Present,2nd_f
ভাবিতেছি,Present,1st
ভাবিতেছিল,Past,3rd_f
ভাবিতেছিলাম,Past,1st
ভাবিতেছিলি,Past,1st
ভাবিতেছিলে,Past,2nd_f
ভাবিতেছিলেন,Past,pol_f
ভাবিতেছিস,Present,2nd_i
ভাবিতেছে,Present,2nd_f
ভাবিতেছেন,Present,pol_f
ভাবিতেন,Past,pol_f
ভাবিব,Future,1st
ভাবিবার,Present,404_f
ভাবিবি,Future,1st
ভাবিবে,Future,2nd_f
ভাবিবেন,Future,pol_f
ভাবিয়া,Participle,404_f
ভাবিয়াছ,Present,2nd_f
ভাবিয়াছি,Present,1st
ভাবিয়াছিল,Past,3rd_f
ভাবিয়াছিলাম,Past,1st
ভাবিয়াছিলি,Past,1st
ভাবিয়াছিলে,Past,2nd_f
ভাবিয়াছিলেন,Past,pol_f
ভাবিয়াছিস,Present,2nd_i
ভাবিয়াছে,Present,3rd_f
ভাবিয়াছেন,Present,pol_f
ভাবিয়ে,Participle,404_f
ভাবিয়েছ,Present,2nd_f
